idd,sex,w_truncation,w_conservation,w_uncertainty,ebv
11143,M,0.0,0.0029111405592764684,0.0,1.77416223554653
11144,F,0.001,0.001,0.001,1.62352070481054
11145,M,0.0,0.0030335013645811063,0.0,1.59494263752291
11146,F,0.001,0.001,0.001,2.29451648378132
11147,M,0.0,0.0034030333392092954,0.0,1.89399443826373
11148,F,0.001,0.001,0.001,1.75689231256009
11149,M,0.0,0.009968675521062837,0.0,1.67109612257012
11150,F,0.001,0.001,0.001,1.67710269959956
11151,M,0.0,0.005512283065615744,0.0,1.69545646269785
11152,F,0.001,0.001,0.001,1.77381243473906
11153,M,0.0,0.0,0.0,1.67424197179373
11154,F,0.001,0.001,0.001,1.61340773822405
11155,M,0.0,0.0,0.00972003709304445,1.88955710670079
11156,F,0.001,0.001,0.001,1.76960265316771
11157,M,0.0,0.0010317921239026825,0.0,1.6823739345481
11158,F,0.001,0.001,0.001,2.12984317616745
11159,M,0.0,0.0,0.0,1.97044298092426
11160,F,0.001,0.001,0.001,2.3062419782456
11161,M,0.0,0.0026922097306767367,0.0,1.90646426412282
11162,F,0.001,0.001,0.001,1.74306137992896
11163,M,0.0,0.0,0.0,1.98896381877448
11164,F,0.001,0.001,0.001,1.80746251126133
11165,M,0.0,0.001146573982296824,0.0,2.33986303280983
11166,F,0.001,0.001,0.001,2.07120512450891
11167,M,0.0,0.0014954274882826594,0.001732847636835887,1.74725784708887
11168,F,0.001,0.001,0.001,1.47530316189758
11169,M,0.0,0.0,0.0,1.33150022892786
11170,F,0.001,0.001,0.001,1.93007084269107
11171,M,0.0,0.0,0.0,2.18278925824951
11172,F,0.001,0.001,0.001,1.69066055498551
11173,M,0.0,0.0,0.0,1.86202950563367
11174,F,0.001,0.001,0.001,1.39704426096012
11175,M,0.0,0.0,0.0024035420961468807,1.97538581617734
11176,F,0.001,0.001,0.001,1.90059049203038
11177,M,0.0,0.0,0.0,1.76442875876067
11178,F,0.001,0.001,0.001,1.89833847929983
11179,M,0.0,0.0010547056962188434,0.0,1.77270917082999
11180,F,0.001,0.001,0.001,2.10669866473241
11181,M,0.0,0.0,0.0,1.93459788928429
11182,F,0.001,0.001,0.001,1.7153066536724
11183,M,0.0,0.0007358133160602001,0.0,1.86981561059347
11184,F,0.001,0.001,0.001,1.89244332799213
11185,M,0.0,0.0059419530683295215,0.0,1.69748818776942
11186,F,0.001,0.001,0.001,1.68763383090149
11187,M,0.0,0.0,0.0009080879921164989,1.77470493871312
11188,F,0.001,0.001,0.001,2.02739105777953
11189,M,0.0,0.000671394751038296,0.0,2.13923246505116
11190,F,0.001,0.001,0.001,2.18628206006897
11191,M,0.0,0.0,0.0,1.96547332815738
11192,F,0.001,0.001,0.001,1.89857036761542
11193,M,0.0,0.0,0.0,1.92433906478291
11194,F,0.001,0.001,0.001,2.2390339562443
11195,M,0.0,0.0,0.0,1.78295394054193
11196,F,0.001,0.001,0.001,1.79931161049926
11197,M,0.0,0.0002280754367793447,0.0,1.67542443458407
11198,F,0.001,0.001,0.001,1.62133850732839
11199,M,0.0,0.00045540137099632136,0.0,1.8551576263158
11200,F,0.001,0.001,0.001,1.50326738218083
11201,M,0.0,0.0,0.0,1.66385549387507
